week,fever,flu,sdate
08/12/2007,2,0,12aug2007
08/19/2007,2,0,19aug2007
08/26/2007,2,1,26aug2007
09/02/2007,2,1,02sep2007
09/09/2007,2,1,09sep2007
09/16/2007,2,1,16sep2007
09/23/2007,2,1,23sep2007
09/30/2007,2,2,30sep2007
10/07/2007,2,2,07oct2007
10/14/2007,2,3,14oct2007
10/21/2007,2,3,21oct2007
10/28/2007,2,3,28oct2007
11/04/2007,2,3,04nov2007
11/11/2007,2,3,11nov2007
11/18/2007,2,2,18nov2007
11/25/2007,2,2,25nov2007
12/02/2007,2,1,02dec2007
12/09/2007,2,1,09dec2007
12/16/2007,2,1,16dec2007
12/23/2007,2,1,23dec2007
12/30/2007,2,1,30dec2007
01/06/2008,2,1,06jan2008
01/13/2008,2,1,13jan2008
01/20/2008,2,1,20jan2008
01/27/2008,2,2,27jan2008
02/03/2008,2,3,03feb2008
02/10/2008,2,3,10feb2008
02/17/2008,2,3,17feb2008
02/24/2008,2,3,24feb2008
03/02/2008,2,2,02mar2008
03/09/2008,2,2,09mar2008
03/16/2008,2,1,16mar2008
03/23/2008,2,1,23mar2008
03/30/2008,2,1,30mar2008
04/06/2008,2,1,06apr2008
04/13/2008,2,1,13apr2008
04/20/2008,2,1,20apr2008
04/27/2008,2,1,27apr2008
05/04/2008,2,1,04may2008
05/11/2008,2,1,11may2008
05/18/2008,2,1,18may2008
05/25/2008,2,0,25may2008
06/01/2008,2,0,01jun2008
06/08/2008,2,0,08jun2008
06/15/2008,2,0,15jun2008
06/22/2008,2,0,22jun2008
06/29/2008,2,0,29jun2008
07/06/2008,2,0,06jul2008
07/13/2008,2,0,13jul2008
07/20/2008,2,0,20jul2008
07/27/2008,2,0,27jul2008
08/03/2008,1,0,03aug2008
08/10/2008,1,0,10aug2008
08/17/2008,2,0,17aug2008
08/24/2008,2,0,24aug2008
08/31/2008,1,1,31aug2008
09/07/2008,2,1,07sep2008
09/14/2008,2,1,14sep2008
09/21/2008,2,1,21sep2008
09/28/2008,2,2,28sep2008
10/05/2008,2,2,05oct2008
10/12/2008,2,3,12oct2008
10/19/2008,2,3,19oct2008
10/26/2008,2,3,26oct2008
11/02/2008,2,3,02nov2008
11/09/2008,2,4,09nov2008
11/16/2008,2,2,16nov2008
11/23/2008,2,1,23nov2008
11/30/2008,2,2,30nov2008
12/07/2008,2,2,07dec2008
12/14/2008,2,1,14dec2008
12/21/2008,2,1,21dec2008
12/28/2008,2,1,28dec2008
01/04/2009,2,1,04jan2009
01/11/2009,2,1,11jan2009
01/18/2009,2,1,18jan2009
01/25/2009,2,1,25jan2009
02/01/2009,2,2,01feb2009
02/08/2009,2,2,08feb2009
02/15/2009,2,2,15feb2009
02/22/2009,2,2,22feb2009
03/01/2009,2,2,01mar2009
03/08/2009,2,1,08mar2009
03/15/2009,2,1,15mar2009
03/22/2009,2,1,22mar2009
03/29/2009,2,1,29mar2009
04/05/2009,2,1,05apr2009
04/12/2009,2,1,12apr2009
04/19/2009,2,4,19apr2009
04/26/2009,2,100,26apr2009
05/03/2009,2,25,03may2009
05/10/2009,2,9,10may2009
05/17/2009,2,8,17may2009
05/24/2009,2,5,24may2009
05/31/2009,2,4,31may2009
06/07/2009,2,5,07jun2009
06/14/2009,2,4,14jun2009
06/21/2009,2,3,21jun2009
06/28/2009,2,3,28jun2009
07/05/2009,2,3,05jul2009
07/12/2009,2,3,12jul2009
07/19/2009,2,3,19jul2009
07/26/2009,2,4,26jul2009
08/02/2009,2,3,02aug2009
08/09/2009,2,4,09aug2009
08/16/2009,2,4,16aug2009
08/23/2009,2,7,23aug2009
08/30/2009,2,9,30aug2009
09/06/2009,2,10,06sep2009
09/13/2009,2,11,13sep2009
09/20/2009,2,12,20sep2009
09/27/2009,2,13,27sep2009
10/04/2009,2,15,04oct2009
10/11/2009,2,16,11oct2009
10/18/2009,2,21,18oct2009
10/25/2009,2,20,25oct2009
11/01/2009,2,15,01nov2009
11/08/2009,2,11,08nov2009
11/15/2009,2,8,15nov2009
11/22/2009,2,5,22nov2009
11/29/2009,2,4,29nov2009
12/06/2009,2,4,06dec2009
12/13/2009,2,3,13dec2009
12/20/2009,2,2,20dec2009
12/27/2009,2,2,27dec2009
01/03/2010,2,2,03jan2010
01/10/2010,2,2,10jan2010
01/17/2010,2,2,17jan2010
01/24/2010,2,1,24jan2010
01/31/2010,2,1,31jan2010
02/07/2010,2,1,07feb2010
02/14/2010,2,1,14feb2010
02/21/2010,2,1,21feb2010
02/28/2010,2,1,28feb2010
03/07/2010,2,1,07mar2010
03/14/2010,2,1,14mar2010
03/21/2010,2,1,21mar2010
03/28/2010,2,1,28mar2010
04/04/2010,2,1,04apr2010
04/11/2010,2,1,11apr2010
04/18/2010,2,1,18apr2010
04/25/2010,2,1,25apr2010
05/02/2010,2,1,02may2010
05/09/2010,2,1,09may2010
05/16/2010,2,1,16may2010
05/23/2010,2,1,23may2010
05/30/2010,2,1,30may2010
06/06/2010,2,0,06jun2010
06/13/2010,2,0,13jun2010
06/20/2010,2,0,20jun2010
06/27/2010,2,0,27jun2010
07/04/2010,2,0,04jul2010
07/11/2010,2,0,11jul2010
07/18/2010,2,0,18jul2010
07/25/2010,2,1,25jul2010
08/01/2010,2,1,01aug2010
08/08/2010,2,1,08aug2010
08/15/2010,2,1,15aug2010
08/22/2010,2,1,22aug2010
08/29/2010,2,1,29aug2010
09/05/2010,2,1,05sep2010
09/12/2010,2,2,12sep2010
09/19/2010,2,2,19sep2010
09/26/2010,2,2,26sep2010
10/03/2010,2,2,03oct2010
10/10/2010,2,2,10oct2010
10/17/2010,2,2,17oct2010
10/24/2010,2,2,24oct2010
10/31/2010,3,2,31oct2010
11/07/2010,2,2,07nov2010
11/14/2010,2,2,14nov2010
11/21/2010,2,1,21nov2010
11/28/2010,2,2,28nov2010
12/05/2010,2,1,05dec2010
12/12/2010,2,1,12dec2010
12/19/2010,2,2,19dec2010
12/26/2010,2,2,26dec2010
01/02/2011,2,2,02jan2011
01/09/2011,2,2,09jan2011
01/16/2011,2,2,16jan2011
01/23/2011,3,2,23jan2011
01/30/2011,3,2,30jan2011
02/06/2011,3,2,06feb2011
02/13/2011,3,2,13feb2011
02/20/2011,3,2,20feb2011
02/27/2011,3,2,27feb2011
03/06/2011,3,1,06mar2011
03/13/2011,2,1,13mar2011
03/20/2011,2,1,20mar2011
03/27/2011,2,1,27mar2011
04/03/2011,2,1,03apr2011
04/10/2011,2,1,10apr2011
04/17/2011,2,1,17apr2011
04/24/2011,2,1,24apr2011
05/01/2011,2,1,01may2011
05/08/2011,2,1,08may2011
05/15/2011,2,1,15may2011
05/22/2011,2,1,22may2011
05/29/2011,2,1,29may2011
06/05/2011,2,1,05jun2011
06/12/2011,2,1,12jun2011
06/19/2011,2,0,19jun2011
06/26/2011,2,0,26jun2011
07/03/2011,2,0,03jul2011
07/10/2011,2,0,10jul2011
07/17/2011,2,0,17jul2011
07/24/2011,2,0,24jul2011
07/31/2011,2,0,31jul2011
08/07/2011,2,1,07aug2011
08/14/2011,2,1,14aug2011
08/21/2011,2,1,21aug2011
08/28/2011,2,1,28aug2011
09/04/2011,2,1,04sep2011
09/11/2011,2,1,11sep2011
09/18/2011,2,2,18sep2011
09/25/2011,2,2,25sep2011
10/02/2011,2,2,02oct2011
10/09/2011,2,2,09oct2011
10/16/2011,2,2,16oct2011
10/23/2011,2,2,23oct2011
10/30/2011,2,2,30oct2011
11/06/2011,2,2,06nov2011
11/13/2011,2,2,13nov2011
11/20/2011,2,1,20nov2011
11/27/2011,2,2,27nov2011
12/04/2011,2,1,04dec2011
12/11/2011,2,1,11dec2011
12/18/2011,2,1,18dec2011
12/25/2011,2,2,25dec2011
01/01/2012,2,2,01jan2012
01/08/2012,2,1,08jan2012
01/15/2012,2,1,15jan2012
01/22/2012,2,1,22jan2012
01/29/2012,2,1,29jan2012
02/05/2012,2,1,05feb2012
02/12/2012,2,2,12feb2012
02/19/2012,2,2,19feb2012
02/26/2012,2,2,26feb2012
03/04/2012,3,1,04mar2012
03/11/2012,2,1,11mar2012
03/18/2012,2,1,18mar2012
03/25/2012,2,1,25mar2012
04/01/2012,2,1,01apr2012
04/08/2012,2,1,08apr2012
04/15/2012,2,1,15apr2012
04/22/2012,2,1,22apr2012
04/29/2012,2,1,29apr2012
05/06/2012,2,1,06may2012
05/13/2012,2,1,13may2012
05/20/2012,2,1,20may2012
05/27/2012,2,1,27may2012
06/03/2012,2,1,03jun2012
06/10/2012,2,1,10jun2012
06/17/2012,2,1,17jun2012
06/24/2012,2,1,24jun2012
07/01/2012,2,0,01jul2012
07/08/2012,2,1,08jul2012
07/15/2012,2,0,15jul2012
