"1/4/2004"	40	0	45	17	0	40	38	0	2004-01-04
"1/11/2004"	31	0	46	10	0	34	43	0	2004-01-11
"1/18/2004"	30	0	49	9	0	36	41	0	2004-01-18
"1/25/2004"	29	0	52	9	0	44	41	0	2004-01-25
"2/1/2004"	21	0	48	9	0	43	45	0	2004-02-01
"2/8/2004"	26	0	47	9	0	26	52	0	2004-02-08
"2/15/2004"	26	0	51	9	0	26	46	0	2004-02-15
"2/22/2004"	29	0	48	0	0	35	49	0	2004-02-22
"2/29/2004"	33	0	47	0	0	26	47	0	2004-02-29
"3/7/2004"	32	0	45	0	0	31	49	0	2004-03-07
"3/14/2004"	29	0	52	0	0	36	52	0	2004-03-14
"3/21/2004"	30	0	51	0	0	35	46	0	2004-03-21
"3/28/2004"	27	0	50	0	0	22	45	0	2004-03-28
"4/4/2004"	27	0	50	0	0	30	54	42	2004-04-04
"4/11/2004"	29	0	46	0	0	20	42	0	2004-04-11
"4/18/2004"	30	0	46	0	0	31	48	0	2004-04-18
"4/25/2004"	28	0	46	0	0	21	40	0	2004-04-25
"5/2/2004"	31	0	46	0	0	21	43	0	2004-05-02
"5/9/2004"	21	0	47	0	0	13	39	0	2004-05-09
"5/16/2004"	27	0	44	0	0	25	38	0	2004-05-16
"5/23/2004"	24	0	43	0	0	31	40	0	2004-05-23
"5/30/2004"	32	0	43	0	0	18	38	0	2004-05-30
"6/6/2004"	25	0	41	0	0	25	32	0	2004-06-06
"6/13/2004"	24	0	37	0	0	17	35	0	2004-06-13
"6/20/2004"	24	0	39	0	0	24	28	0	2004-06-20
"6/27/2004"	29	0	38	0	0	15	28	0	2004-06-27
"7/4/2004"	25	0	43	0	0	14	32	0	2004-07-04
"7/11/2004"	21	0	44	0	0	18	27	0	2004-07-11
"7/18/2004"	30	0	40	0	0	25	29	0	2004-07-18
"7/25/2004"	21	0	42	0	0	23	29	0	2004-07-25
"8/1/2004"	19	0	46	0	0	19	21	0	2004-08-01
"8/8/2004"	24	0	41	0	0	19	26	0	2004-08-08
"8/15/2004"	19	0	39	0	0	24	22	0	2004-08-15
"8/22/2004"	26	0	37	0	0	19	29	0	2004-08-22
"8/29/2004"	24	0	38	0	0	21	30	0	2004-08-29
"9/5/2004"	34	0	40	0	0	24	26	0	2004-09-05
"9/12/2004"	25	0	38	0	0	25	34	0	2004-09-12
"9/19/2004"	26	0	39	0	0	29	39	0	2004-09-19
"9/26/2004"	24	0	42	0	0	29	30	0	2004-09-26
"10/3/2004"	25	0	42	0	0	30	27	0	2004-10-03
"10/10/2004"	25	0	41	0	0	36	32	0	2004-10-10
"10/17/2004"	26	0	46	0	57	22	38	0	2004-10-17
"10/24/2004"	25	0	44	0	58	31	36	0	2004-10-24
"10/31/2004"	30	0	42	0	60	28	40	0	2004-10-31
"11/7/2004"	23	0	41	0	61	28	42	0	2004-11-07
"11/14/2004"	38	0	43	0	62	40	43	37	2004-11-14
"11/21/2004"	33	0	44	0	68	27	39	37	2004-11-21
"11/28/2004"	28	0	43	0	73	33	46	37	2004-11-28
"12/5/2004"	36	0	47	6	78	38	46	37	2004-12-05
"12/12/2004"	30	0	44	6	82	39	44	0	2004-12-12
"12/19/2004"	41	0	41	7	86	46	51	0	2004-12-19
"12/26/2004"	40	0	46	7	90	54	55	0	2004-12-26
"1/2/2005"	31	0	52	8	52	45	48	0	2005-01-02
"1/9/2005"	30	0	52	9	60	31	44	0	2005-01-09
"1/16/2005"	34	0	49	14	50	54	48	0	2005-01-16
"1/23/2005"	39	0	52	14	54	51	49	38	2005-01-23
"1/30/2005"	35	0	53	28	68	51	58	37	2005-01-30
"2/6/2005"	43	0	56	19	100	52	67	28	2005-02-06
"2/13/2005"	40	0	58	23	57	45	64	51	2005-02-13
"2/20/2005"	47	0	56	19	87	51	56	33	2005-02-20
"2/27/2005"	35	0	57	12	59	46	60	52	2005-02-27
"3/6/2005"	42	0	58	13	70	37	60	27	2005-03-06
"3/13/2005"	41	0	61	6	58	31	57	27	2005-03-13
"3/20/2005"	38	0	60	7	58	32	62	27	2005-03-20
"3/27/2005"	40	0	66	8	58	31	53	27	2005-03-27
"4/3/2005"	33	0	83	8	0	39	47	0	2005-04-03
"4/10/2005"	37	0	70	9	0	37	53	0	2005-04-10
"4/17/2005"	30	0	65	5	0	23	47	0	2005-04-17
"4/24/2005"	35	0	64	0	0	29	52	0	2005-04-24
"5/1/2005"	31	0	54	0	0	25	46	0	2005-05-01
"5/8/2005"	34	0	51	0	0	25	41	32	2005-05-08
"5/15/2005"	35	0	50	0	0	23	49	0	2005-05-15
"5/22/2005"	28	0	50	0	0	26	44	0	2005-05-22
"5/29/2005"	38	0	48	0	0	27	45	0	2005-05-29
"6/5/2005"	34	0	47	0	0	18	42	0	2005-06-05
"6/12/2005"	27	0	45	0	0	17	43	0	2005-06-12
"6/19/2005"	25	0	45	0	0	28	41	0	2005-06-19
"6/26/2005"	31	0	44	0	0	18	35	0	2005-06-26
"7/3/2005"	31	0	45	0	0	21	37	0	2005-07-03
"7/10/2005"	22	0	44	0	0	19	38	0	2005-07-10
"7/17/2005"	24	0	41	0	0	27	32	0	2005-07-17
"7/24/2005"	30	0	43	0	46	17	31	0	2005-07-24
"7/31/2005"	31	0	43	0	68	18	28	0	2005-07-31
"8/7/2005"	28	0	42	0	0	23	37	0	2005-08-07
"8/14/2005"	25	0	39	0	0	18	33	0	2005-08-14
"8/21/2005"	23	0	46	0	0	20	30	0	2005-08-21
"8/28/2005"	26	0	47	0	0	23	33	0	2005-08-28
"9/4/2005"	31	0	48	0	0	15	35	0	2005-09-04
"9/11/2005"	31	0	48	0	0	18	32	0	2005-09-11
"9/18/2005"	33	0	46	0	0	28	36	0	2005-09-18
"9/25/2005"	30	0	46	0	0	26	35	0	2005-09-25
